epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,25.1597,2.21939,0.70844,0.97698,1.27777,0.000204403,0.000204403,0.000204403
2,47.7875,0.9436,0.88235,1,0.41345,0.000404564,0.000404564,0.000404564
3,70.1124,0.50598,0.8798,1,0.31431,0.000596475,0.000596475,0.000596475
4,92.1539,0.43078,0.89258,0.99744,0.28921,0.000587875,0.000587875,0.000587875
5,113.678,0.37702,0.92583,0.99488,0.22115,0.0005755,0.0005755,0.0005755
6,135.711,0.32787,0.91816,0.99488,0.24646,0.000563125,0.000563125,0.000563125
7,151.399,0.27071,0.93606,0.99488,0.17452,0.00055075,0.00055075,0.00055075
8,165.641,0.26245,0.93606,0.99488,0.21816,0.000538375,0.000538375,0.000538375
9,181.254,0.22171,0.92327,0.99744,0.19117,0.000526,0.000526,0.000526
10,197.536,0.21422,0.92583,0.99488,0.19517,0.000513625,0.000513625,0.000513625
11,213.547,0.14941,0.96164,0.99744,0.1327,0.00050125,0.00050125,0.00050125
12,228.939,0.16786,0.91304,1,0.23575,0.000488875,0.000488875,0.000488875
13,244.187,0.18616,0.93862,1,0.20174,0.0004765,0.0004765,0.0004765
14,259.538,0.14444,0.94629,1,0.18601,0.000464125,0.000464125,0.000464125
15,276.16,0.18284,0.95908,0.99744,0.15591,0.00045175,0.00045175,0.00045175
16,293.887,0.13775,0.94373,1,0.16821,0.000439375,0.000439375,0.000439375
17,310.599,0.12764,0.95908,1,0.14402,0.000427,0.000427,0.000427
18,327.562,0.13141,0.95652,1,0.21128,0.000414625,0.000414625,0.000414625
19,344.048,0.09382,0.95396,1,0.13107,0.00040225,0.00040225,0.00040225
20,360.505,0.11313,0.93862,1,0.1812,0.000389875,0.000389875,0.000389875
21,376.925,0.10972,0.95652,1,0.12227,0.0003775,0.0003775,0.0003775
22,393.711,0.10623,0.97698,1,0.08907,0.000365125,0.000365125,0.000365125
23,410.114,0.08127,0.95396,1,0.17505,0.00035275,0.00035275,0.00035275
24,426.808,0.0735,0.94885,1,0.17819,0.000340375,0.000340375,0.000340375
25,443.524,0.09818,0.95396,1,0.1879,0.000328,0.000328,0.000328
26,460.033,0.0891,0.94885,1,0.16974,0.000315625,0.000315625,0.000315625
27,476.617,0.07335,0.94373,1,0.16683,0.00030325,0.00030325,0.00030325
28,493.113,0.08907,0.95141,1,0.12986,0.000290875,0.000290875,0.000290875
29,509.379,0.05449,0.94629,1,0.14464,0.0002785,0.0002785,0.0002785
30,524.367,0.07395,0.95396,1,0.16201,0.000266125,0.000266125,0.000266125
31,539.054,0.07942,0.96675,1,0.14717,0.00025375,0.00025375,0.00025375
32,553.907,0.06131,0.94118,0.99744,0.19078,0.000241375,0.000241375,0.000241375
33,568.89,0.05211,0.93862,0.99744,0.21977,0.000229,0.000229,0.000229
34,583.95,0.06721,0.96164,1,0.09942,0.000216625,0.000216625,0.000216625
35,599.139,0.06088,0.96419,0.99744,0.12829,0.00020425,0.00020425,0.00020425
36,614.117,0.05461,0.95908,0.99744,0.12313,0.000191875,0.000191875,0.000191875
37,630.482,0.04988,0.96164,1,0.10742,0.0001795,0.0001795,0.0001795
38,645.538,0.05603,0.97187,1,0.08959,0.000167125,0.000167125,0.000167125
39,660.609,0.05086,0.95908,1,0.1205,0.00015475,0.00015475,0.00015475
40,675.511,0.0333,0.96164,1,0.11938,0.000142375,0.000142375,0.000142375
41,690.368,0.03596,0.96931,1,0.09003,0.00013,0.00013,0.00013
42,705.453,0.04519,0.97954,1,0.07642,0.000117625,0.000117625,0.000117625
43,720.644,0.03618,0.96931,1,0.08831,0.00010525,0.00010525,0.00010525
44,735.789,0.02296,0.96675,1,0.09179,9.2875e-05,9.2875e-05,9.2875e-05
45,750.965,0.02325,0.96419,1,0.1063,8.05e-05,8.05e-05,8.05e-05
46,766.082,0.03312,0.96675,1,0.13304,6.8125e-05,6.8125e-05,6.8125e-05
47,781.215,0.02256,0.96675,1,0.14358,5.575e-05,5.575e-05,5.575e-05
48,796.43,0.03633,0.97442,1,0.10422,4.3375e-05,4.3375e-05,4.3375e-05
49,811.467,0.02566,0.97187,1,0.1327,3.1e-05,3.1e-05,3.1e-05
50,826.56,0.02968,0.96931,1,0.10416,1.8625e-05,1.8625e-05,1.8625e-05
